"""class""","""permission""","direction(1=read or dest to src,0=write or src->dest)",channel opened(path),data_type(vehicle)/control_type,备注
"""socket""","""getattr""",,,,
"""socket""","""setattr""",,,,
"""socket""","""read""",,,,
"""socket""","""write""",,,,
"""unix_dgram_socket""","""append""",,,,
"""unix_dgram_socket""","""setattr""",,,,
"""unix_dgram_socket""","""lock""",,,,
"""unix_dgram_socket""","""getattr""",,,,
"""unix_dgram_socket""","""ioctl""",,,,
"""unix_dgram_socket""","""read""",,,,
"""unix_dgram_socket""","""getopt""",,,,
"""unix_dgram_socket""","""connect""",,,,
"""unix_dgram_socket""","""shutdown""",,,,
"""netlink_route_socket""","""write""",,,,
"""netlink_route_socket""","""read""",,,,
"""bpf""","""map_read""",,,,
"""netlink_kobject_uevent_socket""","""write""",,,,
"""netlink_kobject_uevent_socket""","""read""",,,,
"""netlink_nflog_socket""","""write""",,,,
"""netlink_nflog_socket""","""read""",,,,
"""bpf""","""map_write""",,,,
"""process""","""noatsecure""",,,,
"""unix_stream_socket""","""sendto""",,,,
"""bpf""","""prog_run""",,,,
"""dir""","""relabelfrom""",,,,
"""dir""","""relabelto""",,,,
"""dir""","""setattr""",,,,
"""dir""","""rmdir""",,,,
"""dir""","""add_name""",,,,
"""dir""","""remove_name""",,,,
"""dir""","""create""",,,,
"""dir""","""write""",,,,
"""file""","""create""",,,,
"""file""","""setattr""",,,,
"""file""","""relabelto""",,,,
"""fifo_file""","""relabelfrom""",,,,
"""fifo_file""","""relabelto""",,,,
"""fifo_file""","""setattr""",,,,
"""fifo_file""","""create""",,,,
"""fifo_file""","""unlink""",,,,
"""blk_file""","""relabelto""",,,,
"""lnk_file""","""relabelto""",,,,
"""lnk_file""","""unlink""",,,,
"""lnk_file""","""create""",,,,
"""lnk_file""","""setattr""",,,,
"""lnk_file""","""relabelfrom""",,,,
"""sock_file""","""unlink""",,,,
"""sock_file""","""relabelto""",,,,
"""sock_file""","""open""",,,,
"""sock_file""","""getattr""",,,,
"""sock_file""","""create""",,,,
"""sock_file""","""relabelfrom""",,,,
"""sock_file""","""setattr""",,,,
"""sock_file""","""read""",,,,
"""chr_file""","""relabelto""",,,,
"""dir""","""mounton""",,,,
"""filesystem""","""getattr""",,,,
"""chr_file""","""setattr""",,,,
"""blk_file""","""getattr""",,,,
"""chr_file""","""unlink""",,,,
"""chr_file""","""create""",,,,
"""chr_file""","""getattr""",,,,
"""dir""","""rename""",,,,
"""dir""","""reparent""",,,,
"""file""","""rename""",,,,
"""file""","""unlink""",,,,
"""file""","""relabelfrom""",,,,
"""blk_file""","""open""",,,,
"""blk_file""","""map""",,,,
"""blk_file""","""read""",,,,
"""blk_file""","""ioctl""",,,,
"""blk_file""","""lock""",,,,
"""filesystem""","""mount""",,,,
"""filesystem""","""unmount""",,,,
"""filesystem""","""remount""",,,,
"""filesystem""","""relabelfrom""",,,,
"""filesystem""","""quotamod""",,,,
"""filesystem""","""associate""",,,,
"""filesystem""","""quotaget""",,,,
"""blk_file""","""create""",,,,
"""blk_file""","""setattr""",,,,
"""blk_file""","""relabelfrom""",,,,
"""blk_file""","""unlink""",,,,
"""chr_file""","""append""",,,,
"""chr_file""","""write""",,,,
"""chr_file""","""map""",,,,
"""chr_file""","""open""",,,,
"""chr_file""","""lock""",,,,
"""chr_file""","""ioctl""",,,,
"""chr_file""","""read""",,,,
"""chr_file""","""execute""",,,,
"""service_manager""","""find""",,,,
"""service_manager""","""add""",,,,
"""file""","""entrypoint""",,,,
"""file""","""execute""",,,,
"""file""","""execute_no_trans""",,,,
"""sock_file""","""ioctl""",,,,
"""sock_file""","""write""",,,,
"""sock_file""","""lock""",,,,
"""sock_file""","""append""",,,,
"""sock_file""","""map""",,,,
"""sock_file""","""rename""",,,,
"""fifo_file""","""rename""",,,,
"""lnk_file""","""rename""",,,,
"""lnk_file""","""write""",,,,
"""lnk_file""","""append""",,,,
"""system""","""module_load""",,,,
"""blk_file""","""append""",,,,
"""blk_file""","""write""",,,,
"""file""","""link""",,,,
"""lnk_file""","""link""",,,,
"""file""","""execmod""",,,,
"""filesystem""","""relabelto""",,,,
"""unix_stream_socket""","""setattr""",,,,
"""unix_stream_socket""","""accept""",,,,
"""unix_stream_socket""","""listen""",,,,
"""unix_stream_socket""","""append""",,,,
"""unix_stream_socket""","""lock""",,,,
"""unix_stream_socket""","""connect""",,,,
"""hwservice_manager""","""find""",,,,
"""hwservice_manager""","""add""",,,,
"""property_service""","""set""",,,,
"""key""","""link""",,,,
"""chr_file""","""relabelfrom""",,,,
"""tcp_socket""","""node_bind""",,,,
"""rawip_socket""","""node_bind""",,,,
"""udp_socket""","""node_bind""",,,,
"""tcp_socket""","""name_connect""",,,,
"""udp_socket""","""name_bind""",,,,
"""tcp_socket""","""name_bind""",,,,
"""file""","""mounton""",,,,
"""netlink_socket""","""read""",,,,
"""netlink_socket""","""write""",,,,
"""kernel_service""","""use_as_override""",,,,
"""dir""","""append""",,,,
"""dir""","""unlink""",,,,
"""dir""","""map""",,,,
"""tcp_socket""","""create""",,,,
